,东,东北,东南,交易权属,产权年限,供暖方式,北,南,卫,厅,厨,室,小区名称,建成年代,建筑类型,建筑结构,建筑面积,总楼层,户型结构,房屋年限,房屋用途,房权所属,挂牌时间,梯户比例,楼层,片区,行政区域,装修情况,西,西北,西南,配备电梯,实际成交价,预测价,相对误差
72,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,1.0,双榆树北路6号院,1988.0,板楼,混合结构,42.5,6.0,平层,满五年,普通住宅,非共有,112.0,0.3333333333333333,低楼层,双榆树,海淀,简装,,,,无,400.0,386.13485084477816,0.034662872888054606
73,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,甘家口小区,1996.0,板楼,混合结构,61.4,6.0,平层,满五年,普通住宅,非共有,389.0,0.5,低楼层,甘家口,海淀,简装,,,,无,650.0,572.6743697512331,0.11896250807502594
74,,,,已购公房,70.0,集中供暖,,,1.0,1.0,1.0,1.0,德胜门西大街甲5号,1998.0,塔楼,钢混结构,53.4,12.0,平层,满五年,普通住宅,非共有,114.0,0.2,中楼层,新街口,海淀,其他,1.0,,,有,408.0,426.79233971055464,0.0460596561533202
75,1.0,,,商品房,70.0,集中供暖,1.0,,1.0,1.0,1.0,2.0,田村40号院,1982.0,板楼,混合结构,58.1,6.0,平层,满两年,普通住宅,共有,247.0,0.5,底层,田村,海淀,精装,1.0,,,无,385.0,390.0199426754998,0.013038812144155339
76,,,,私产,70.0,集中供暖,1.0,1.0,2.0,2.0,1.0,3.0,清枫华景园,2005.0,板楼,钢混结构,141.68,7.0,平层,满五年,普通住宅,共有,157.0,0.5,中楼层,学院路,海淀,精装,,,,有,1100.0,1094.3515030764333,0.005134997203242413
77,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,1.0,翠微北里,1989.0,塔楼,钢混结构,48.0,24.0,平层,满两年,普通住宅,非共有,137.0,0.25,低楼层,公主坟,海淀,其他,,,,有,411.0,432.41531674124633,0.05210539353101296
78,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,水科院,2001.0,板楼,混合结构,70.54,6.0,平层,满五年,普通住宅,非共有,221.0,0.5,高楼层,军博,海淀,其他,,,,无,740.0,648.7890996750534,0.12325797341208997
79,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,1.0,乔建里,1989.0,板楼,混合结构,41.1,6.0,平层,满五年,普通住宅,非共有,104.0,0.2,顶层,军博,海淀,简装,,,,无,300.0,294.0114590718531,0.019961803093823012
80,,,,商品房,70.0,集中供暖,1.0,1.0,2.0,2.0,1.0,3.0,上第MOMA,2008.0,板塔结合,钢混结构,144.53,9.0,平层,满两年,普通住宅,非共有,238.0,0.5,中楼层,上地,海淀,精装,,,,有,900.0,919.354991931055,0.021505546590061108
81,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,农林科学院宿舍,1991.0,板楼,混合结构,65.3,4.0,平层,满五年,普通住宅,非共有,274.0,0.3333333333333333,顶层,四季青,海淀,简装,,,,无,540.0,562.033891402863,0.04080350259789443
82,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,2.0,1.0,2.0,林大北路10号院,1997.0,板楼,混合结构,72.7,6.0,平层,满五年,普通住宅,共有,151.0,0.5,低楼层,学院路,海淀,简装,,,,无,573.0,598.7278994875135,0.04490034814574776
83,,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,1.0,月季园,1997.0,塔楼,钢混结构,44.78,21.0,平层,满五年,普通住宅,非共有,292.0,0.2222222222222222,高楼层,马甸,海淀,简装,1.0,,,有,333.0,351.0527026865884,0.0542123203801454
84,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,科育小区,1960.0,板楼,混合结构,67.2,4.0,平层,满五年,普通住宅,非共有,385.0,0.3333333333333333,中楼层,中关村,海淀,精装,,,,无,735.0,769.3677824334659,0.046758887664579446
85,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,万寿路西街11号院,1987.0,板楼,混合结构,52.85,6.0,平层,满两年,普通住宅,共有,281.0,0.3333333333333333,低楼层,万寿路,海淀,其他,,,,无,578.0,595.9330132802594,0.03102597453332074
86,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,塔院小区,1989.0,板楼,混合结构,57.5,6.0,平层,满五年,普通住宅,非共有,299.0,0.3333333333333333,底层,牡丹园,海淀,精装,,,,无,560.0,527.2313090350468,0.05851551958027353
87,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,梅园,1995.0,板楼,混合结构,57.91,6.0,平层,满五年,普通住宅,非共有,214.0,0.3333333333333333,高楼层,马连洼,海淀,简装,,,,无,381.0,398.21712758140256,0.045189311237277076
88,,,,央产房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,3.0,塔院小区,1990.0,塔楼,钢混结构,87.8,18.0,平层,满五年,普通住宅,共有,376.0,0.2857142857142857,中楼层,牡丹园,海淀,毛坯,,,,有,880.0,787.3552132430801,0.10527816676922712
89,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,厂洼街7号院,1998.0,板楼,混合结构,73.05,6.0,平层,满五年,普通住宅,非共有,314.0,0.5,底层,厂洼,海淀,精装,,,,无,710.0,677.2722445265924,0.04609543024423601
90,,,,商品房,70.0,自供暖,1.0,1.0,4.0,3.0,1.0,6.0,颐安嘉园,2000.0,板楼,混合结构,208.0,7.0,跃层,满五年,普通住宅,非共有,149.0,0.5,高楼层,紫竹桥,海淀,精装,,,,有,2250.0,1586.3512084822487,0.2949550184523339
91,,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,1.0,甘家口小区,1995.0,板塔结合,钢混结构,43.0,12.0,平层,满五年,普通住宅,非共有,262.0,0.2,中楼层,甘家口,海淀,其他,,,1.0,有,335.0,348.9077104984651,0.04151555372676156
92,,,,央产房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,核二院,1986.0,板楼,混合结构,59.9,6.0,平层,满五年,普通住宅,非共有,115.0,0.3333333333333333,顶层,定慧寺,海淀,其他,,,,无,552.0,544.6712687707657,0.013276687009482492
93,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,菊园,1995.0,板楼,混合结构,63.29,6.0,平层,满五年,普通住宅,非共有,338.0,0.5,底层,马连洼,海淀,简装,,,,无,440.0,424.27330126814707,0.03574249711784758
